sample_row,local_auth,school_nam,la_s_code,seed_code,uprn,address,type,level,email,phone,website,sh_date_up,sh_src,sh_src_id
18,Aberdeenshire,PORTLETHEN ACADEMY,S12000034,5258030,151501103.0,"BRUNTLAND ROAD, PORTLETHEN, ABERDEEN, AB12 4QL",Non-denominational,Secondary,portlethen.aca@aberdeenshire.gov.uk,01224 087880,http://www.portlethenacademy.aberdeenshire.sch.uk/,2023-11-16,7d1b6ac2-c23e-4b47-b9c7-228860317d99,280
19,Highland,FARR HIGH SCHOOL,S12000017,5110432,130058494.0,"BETTYHILL, BY THURSO, KW14 7SS",Non-denominational,Secondary,farr.high@highland.gov.uk,01641 521217,https://farrhigh.wordpress.com/,2026-05-21,220e235c-6d1b-4476-bf73-9f70e07f2a19,112
20,City of Edinburgh,CRAIGMOUNT HIGH SCHOOL,S12000036,5532132,906067430.0,"59 CRAIGS ROAD, EDINBURGH, EH12 8NH",Non-denominational,Secondary,admin@craigmount.edin.sch.uk,0131 339 6823,http://www.craigmount.edin.sch.uk/,2026-05-21,e6a737bd-e072-4e13-9c7d-98a6bd3557e9,22
21,South Ayrshire,MARR COLLEGE,S12000028,8237832,141015686.0,"DUNDONALD ROAD, TROON, KA10 7AB",Non-denominational,Secondary,marr.mail@south-ayrshire.gov.uk,01292 690022,http://www.marr.sayr.sch.uk/,2026-05-21,afc7d7e4-f71b-4993-adba-3af3554148de,131
22,Moray,MILNE'S HIGH SCHOOL,S12000020,5202930,133040334.0,"WEST STREET, FOCHABERS, MORAY, IV32 7DJ",Non-denominational,Secondary,admin.milneshigh@moray-edunet.gov.uk,01343 820611,http://www.milneshighschool.org.uk/,2026-05-21,a8fcd967-b00b-4ffa-b9e0-8ac90bf4894b,126
23,West Lothian,DEANS COMMUNITY HIGH SCHOOL,S12000040,5502535,,"EASTWOOD PARK, DEANS, LIVINGSTON, EH54 8PS",Non-denominational,Secondary,wldeans-chs@westlothian.org.uk,01506 282155,http://www.deanscommunityhighschool.com/,2024-03-26,504c3944-4e92-451b-a567-79d12ff72581,307
24,Falkirk,LARBERT HIGH SCHOOL,S12000014,5747031,136070398.0,"CARRONGRANGE AVENUE, STENHOUSEMUIR, LARBERT, FK5 3BL",Non-denominational,Secondary,larberthighschool@falkirk.gov.uk,01324 554233,http://www.larberthigh.com/,2026-05-21,ff5000f6-a5f6-4beb-b552-1d4eb481275d,64
25,Shetland Islands,WHALSAY JUNIOR HIGH SCHOOL,S12000027,,,,Non-denominational,Secondary,,,,2016-12-13,8b5dceb2-529a-46ba-b471-8bf7c0d2b412,70
26,Scottish Borders,EYEMOUTH HIGH,S12000026,,,GUNSGREENHILL EYEMOUTH TD14 5LZ,Non-denominational,Secondary,,,http://www.scotborders.gov.uk/directory_record/20112/eyemouth_high_school,2021-09-29,d0651ab7-2864-4491-ad06-c3d558e21fff,258
27,City of Edinburgh,GRACEMOUNT HIGH SCHOOL,S12000036,5532930,906406847.0,"136 LASSWADE ROAD, EDINBURGH, EH16 6TZ",Non-denominational,Secondary,admin@gracemount.edin.sch.uk,0131 664 7440,http://www.gracemounthighschool.co.uk/,2026-05-21,e6a737bd-e072-4e13-9c7d-98a6bd3557e9,28
28,Falkirk,GRANGEMOUTH HIGH SCHOOL,S12000014,5746639,136078914.0,"TINTO DRIVE, GRANGEMOUTH, FK3 0HW",Non-denominational,Secondary,grangemouthhighschool@falkirk.gov.uk,01324 660210,http://www.grangemouth.falkirk.sch.uk,2026-05-21,ff5000f6-a5f6-4beb-b552-1d4eb481275d,67
29,Highland,CHARLESTON ACADEMY,S12000017,5143837,130052213.0,"GENERAL BOOTH ROAD, KINMYLIES, INVERNESS, IV3 8ET",Non-denominational,Secondary,charleston.academy@highland.gov.uk,01463 234324,http://www.charleston.highland.sch.uk/,2026-05-21,220e235c-6d1b-4476-bf73-9f70e07f2a19,94
30,Highland,GOLSPIE HIGH SCHOOL,S12000017,5109531,130015403.0,"MAIN STREET, GOLSPIE, KW10 6RF",Non-denominational,Secondary,golspie.high@highland.gov.uk,01408 633451,http://golspiehigh.schools.uk.com/,2026-05-21,220e235c-6d1b-4476-bf73-9f70e07f2a19,120
