sample_row,local_auth,school_nam,la_s_code,seed_code,uprn,address,type,level,email,phone,website,sh_date_up,sh_src,sh_src_id
11,Renfrewshire,ST BENEDICT'S HIGH SCHOOL,S12000038,8620032,123094915.0,"BRIDGE OF WEIR ROAD, LINWOOD, PA5 8EX",Denominational,Secondary,stbenedictshighenquiries@renfrewshire.gov.uk,0300 300 1441,http://www.st-benedictshigh.renfrewshire.sch.uk/,2018-09-20,f4dd8853-23ed-40d4-a0a6-9faae13a8b23,126
12,Midlothian,ST DAVID'S RC HIGH SCHOOL,S12000019,5546230,120037126.0,"1 COUSLAND ROAD, DALKEITH, EH22 2PS",Denominational,Secondary,st-davids.hs@midlothian.gov.uk,0131 654 4702,https://www.stdavidshighschool.co.uk/,2019-10-25,b44e0d3a-4789-42bd-87e6-23a24d7946b9,171
13,West Dunbartonshire,OUR LADY & ST PATRICK'S HIGH SCHOOL,S12000039,8304238,129056530.0,"HOWATSHAWS ROAD, BELLSMYRE, DUMBARTON, G82 3DR",Denominational,Secondary,SchoolOffice.OLSPSecondarySchool@education.w-dunbarton.sch.uk,01389 773920,https://sites.google.com/ourcloud.buzz/olsp-highschool/home,2026-05-21,4dd06776-b37e-4c27-96b4-79c6dfd5eb68,1
14,Glasgow City,ST AMBROSE HIGH SCHOOL (COATBRIDGE),S12000049,,,,Denominational,Secondary,,,,2026-05-21,ba3ad164-aaeb-4c7c-b145-58f388a902c9,54
15,South Lanarkshire,ST ANDREW'S AND ST. BRIDE'S HIGH SCHOOL,S12000029,,,,Denominational,Secondary,,,,2017-09-28,ee4c1b15-b913-41c4-8f26-b76ed56c20e6,80
16,North Ayrshire,ST MATTHEW'S ACADEMY,S12000021,8210039,126068279.0,"JACK'S ROAD, SALTCOATS, KA21 5NT",Denominational,Secondary,stmatthews@ea.n-ayrshire.sch.uk,01294 606680,http://saintmatthewsacademy.com,2026-05-21,e2a65c4d-eafb-4ac4-8a09-ae1b89aecd22,75
17,Clackmannanshire,ST MODAN'S HIGH SCHOOL,S12000005,5726336,122062503.0,"ROYAL STUART WAY, STIRLING, FK7 7WS",Denominational,Secondary,stmodanshs@stirling.gov.uk,01786 470962,http://stmodans.co.uk/,2026-05-21,519369cc-f774-4a1f-9615-1098a06e2391,74
18,South Lanarkshire,TRINITY HIGH SCHOOL,S12000029,8458030,484162029.0,"GLENSIDE DRIVE, RUTHERGLEN, G73 3LW",Denominational,Secondary,office@trinity.s-lanark.sch.uk,0141 646 3650,http://www.trinity.s-lanark.sch.uk/,2017-09-28,ee4c1b15-b913-41c4-8f26-b76ed56c20e6,74
19,City of Edinburgh,ST THOMAS OF AQUIN'S RC HIGH SCHOOL,S12000036,,,"2 - 20 CHALMERS STREET, EDINBURGH, EH3 9NH",Denominational,Secondary,,,http://www.st-thomas-of-aquins.org.uk/,2026-05-21,e373588c-b19a-476e-997c-9e1e9ae73ecf,5
20,South Lanarkshire,HOLY CROSS HIGH SCHOOL,S12000029,8524831,484154700.0,"51 NEW PARK STREET, HAMILTON, ML3 0BN",Denominational,Secondary,office@holycross.s-lanark.sch.uk,01698 543450,http://www.holycross.s-lanark.sch.uk,2017-09-28,ee4c1b15-b913-41c4-8f26-b76ed56c20e6,90
21,City of Edinburgh,ST AUGUSTINE'S RC HIGH SCHOOL,S12000036,,,"208 BROOMHOUSE ROAD, EDINBURGH, EH12 9AD",Denominational,Secondary,,,http://staugustinesrchs.uk/,2026-05-21,e373588c-b19a-476e-997c-9e1e9ae73ecf,4
22,North Lanarkshire,OUR LADY'S HIGH SCHOOL - CUMBERNAULD,S12000050,8357439,118028321.0,"DOWANFIELD ROAD, CUMBERNAULD, G67 1LA",Denominational,Secondary,ht@ourladys.n-lanark.sch.uk,01236 757688,https://blogs.glowscotland.org.uk/nl/olhscumbernauld/,2026-05-21,db04aa35-030c-48dc-9d19-9efa69b2e9ed,21
23,North Lanarkshire,ST ANDREW'S HIGH SCHOOL,S12000050,8500037,118169817.0,"9 OLD MONKLAND ROAD, COATBRIDGE, ML5 5EA",Denominational,Secondary,ht@st-andrewshigh.n-lanark.sch.uk,01236 757657,http://www.st-andrewshigh.n-lanark.sch.uk,2026-05-21,db04aa35-030c-48dc-9d19-9efa69b2e9ed,16
24,Renfrewshire,TRINITY HIGH SCHOOL,S12000038,8632030,123079705.0,"GLEBE STREET, RENFREW, PA4 8TP",Denominational,Secondary,trinityhighenquiries@renfrewshire.gov.uk,0300 300 1444,http://trinityhighrenfrew.co.uk/,2018-09-20,f4dd8853-23ed-40d4-a0a6-9faae13a8b23,127
25,Glasgow City,TRINITY HIGH SCHOOL (SOUTH LANARKSHIRE),S12000049,,,,Denominational,Secondary,,,,2026-05-21,ba3ad164-aaeb-4c7c-b145-58f388a902c9,63
26,South Lanarkshire,ST AIDAN'S HIGH SCHOOL (NORTH LANARKSHIRE),S12000029,,,,Denominational,Secondary,,,,2017-09-28,ee4c1b15-b913-41c4-8f26-b76ed56c20e6,92
27,East Dunbartonshire,TURNBULL HIGH SCHOOL,S12000045,8342032,132053093.0,"ST MARY'S ROAD, BISHOPBRIGGS, GLASGOW, G64 2EF",Denominational,Secondary,office@turnbull.e-dunbarton.sch.uk,0141 955 2393,http://www.turnbull.e-dunbarton.sch.uk,2018-09-26,36c831f9-8d3a-48bd-9655-e8e6b37e1770,34
28,Glasgow City,ST MARGARET MARY'S SECONDARY SCHOOL,S12000049,8438331,,"9 BIRGIDALE ROAD, GLASGOW, G45 9NJ",Denominational,Secondary,headteacher@st-margaretmarys-sec.glasgow.sch.uk,0141 582 0250,http://www.st-margaretmarys-sec.glasgow.sch.uk,2026-05-21,ba3ad164-aaeb-4c7c-b145-58f388a902c9,52
29,Fife,ST COLUMBA'S R C HIGH SCHOOL,S12000047,5446538,320188037.0,"WOODMILL ROAD, DUNFERMLINE, KY11 4UN",Denominational,Secondary,stcolumbasrchs.enquiries@fife.gov.uk,01383 602405,http://www.fifedirect.org.uk/StColumbasRCHS,2026-05-21,21e8eca5-cd1f-4c8d-a962-8359efab32ec,73
30,North Lanarkshire,ST NINIAN'S HIGH SCHOOL,S12000050,8337934,132053075.0,"BELLFIELD ROAD, KIRKINTILLOCH, G66 1DT",Denominational,Secondary,office@st-ninians.e-dunbarton.sch.uk,0141 955 2386,http://www.st-ninians.e-dunbarton.sch.uk,2026-05-21,db04aa35-030c-48dc-9d19-9efa69b2e9ed,13
