SchoolRecordID,SeedCode,SchUID,SchoolName,SchoolMapLabel,SchoolType,CentreType,Denomination,LAName,LACode,AddressLine1,AddressLine2,AddressLine3,PostCode,PostCode_clean,Postcode_area,Postcode_district,Latitude,Longitude,GridRefEasting,GridRefNorthing,PupilRoll,FTETeacher,PropPupilsMinorityEthnic,PropPupils20PCMostDeprived,DZSIMDPercentile,DZSIMDMostDep15Pct,DZSIMDMostDep16_25Pct,DZSIMDMostDep25Pct,AddrUR8,AddrUR6,AddrUR8Desc,AddrUR6Desc,DZUR8,DZUR6,DZUR8Desc,DZUR6Desc,DataZone,UPRN,Email,Phone,Website,Notes,HasCoordinates
11,5948339,5948339S,Annan Academy,Annan Academy (Dumfries and Galloway),Secondary,Local Authority,Non-denominational,Dumfries and Galloway,S12000006,St John's Road,Annan,DUMFRIESSHIRE,DG12 6AP,DG12 6AP,DG,DG12,54.9847974,-3.2603155,319447,566304,971,62.0,*,5 - <10%,40,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01007661,137020551,gw08officeannan@ea.dumgal.sch.uk,01461 202954,http://annanacademyorguk.ipage.com/index.html,,True
12,5307031,5307031S,Arbroath Academy,Arbroath Academy (Angus),Secondary,Local Authority,Non-denominational,Angus,S12000041,Glenisla Drive,Arbroath,,DD11 5JD,DD11 5JD,DD,DD11,56.5693325,-2.5726192,364912,742079,683,61.6,*,25 - <30%,16,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007195,117082503,Arbroathacademy@angusschools.org.uk,01241 465200,http://www.arbroathacademy.angus.sch.uk/,,True
13,5307139,5307139S,Arbroath High School,Arbroath High School (Angus),Secondary,Local Authority,Non-denominational,Angus,S12000041,Keptie Road,Arbroath,,DD11 3EN,DD11 3EN,DD,DD11,56.5614112,-2.6005824,363186,741212,889,73.6,0 - <5%,15 - <20%,52,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007182,117082306,ArbroathHigh@angusschools.org.uk,01241 465100,http://www.arbroathhigh.angus.sch.uk,,True
14,5130239,5130239S,Ardnamurchan High School,Ardnamurchan High School (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Drimnatorran,Strontian,ACHARCLE,PH36 4JA,PH36 4JA,PH,PH36,56.6998108,-5.5681904,181645,762146,126,16.6,*,0%,56,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01010508,130092475,ardnamurchan.high@highland.gov.uk,01397 700105,http://www.ardnamurchanhighschool.org/index.asp,,True
15,8214638,8214638S,Ardrossan Academy,Ardrossan Academy (North Ayrshire),Secondary,Local Authority,Non-denominational,North Ayrshire,S12000021,Sorbie Road,,ARDROSSAN,KA22 8AR,KA22 8AR,KA,KA22,55.6444546,-4.8002302,223873,642547,795,74.2,0 - <5%,50 - <55%,63,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011258,126060254,ardrossan@ea.n-ayrshire.sch.uk,01294 461931,http://www.ardrossanacademy.co.uk,,True
16,5509238,5509238S,Armadale Academy,Armadale Academy (West Lothian),Secondary,Local Authority,Non-denominational,West Lothian,S12000040,West Main Street,Armadale,WEST LOTHIAN,EH48 3LY,EH48 3LY,EH,EH48,55.8948308,-3.7142026,292899,668184,1157,82.4,0 - <5%,*,35,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01013384,135009600,wlarmadale-ac@westlothian.org.uk,01506 282145,http://www.armadaleacademy.westlothian.org.uk/,,True
17,8200831,8200831S,Arran High School,Arran High School (North Ayrshire),Secondary,Local Authority,Non-denominational,North Ayrshire,S12000021,Lamlash,,ISLE OF ARRAN,KA27 8NG,KA27 8NG,KA,KA27,55.5302726,-5.1334013,202339,630743,242,28.3,0 - <5%,0%,53,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01011175,126073240,arran@ea.n-ayrshire.sch.uk,01770 600341,http://arranhigh.co.uk,,True
18,8216134,8216134S,Auchenharvie Academy,Auchenharvie Academy (North Ayrshire),Secondary,Local Authority,Non-denominational,North Ayrshire,S12000021,Saltcoats Road,,STEVENSTON,KA20 3JW,KA20 3JW,KA,KA20,55.6383217,-4.7682786,225856,641784,678,59.3,0 - <5%,75 - <80%,35,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011268,126060372,auchenharvie@ea.n-ayrshire.sch.uk,01294 605156,http://www.auchenharvieacademy.com/,,True
19,5406439,5406439S,Auchmuty High School,Auchmuty High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,Dovecot Road,Glenrothes,,KY7 5JL,KY7 5JL,KY,KY7,56.195811,-3.1568012,328316,700958,1302,94.9,0 - <5%,10 - <15%,26,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009574,320314239,Auchmutyhs.enquiries@fife.gov.uk,01592 583401,http://www.fifedirect.org.uk/auchmutyhs,,True
20,8235538,8235538S,Ayr Academy,Ayr Academy (South Ayrshire),Secondary,Local Authority,Non-denominational,South Ayrshire,S12000028,University Avenue,Ayr,,KA8 0SZ,KA8 0SZ,KA,KA8,55.4595087,-4.6098887,235075,621503,602,50.4,0 - <5%,55 - <60%,46,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012494,141071498,ayr.mail@south-ayrshire.gov.uk,01292 612028,http://www.ayr.sayr.sch.uk,,True
21,5331137,5331137S,Baldragon Academy,Baldragon Academy (Dundee City),Secondary,Local Authority,Non-denominational,Dundee City,S12000042,69 Harestane Road,Dundee,,DD3 0LF,DD3 0LF,DD,DD3,56.4949271,-2.9884792,339239,734088,881,74.8,0 - <5%,45 - <50%,73,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01007815,9059105068,baldragonacademy@dundeeschools.scot,01382 436170,http://baldragon.ea.dundeecity.sch.uk/,,True
22,5541638,5541638S,Balerno Community High School,Balerno Community High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,5 Bridge Road,Balerno,EDINBURGH,EH14 7AQ,EH14 7AQ,EH,EH14,55.8868705,-3.3382543,316391,666780,893,66.5,10 - <20%,0 - <5%,91,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008423,906027510,admin@balernochs.edin.sch.uk,0131 477 7788,http://www.balernochs.edin.sch.uk,,True
23,5726034,5726034S,Balfron High School,Balfron High School (Stirling),Secondary,Local Authority,Non-denominational,Stirling,S12000030,Roman Road,Balfron,,G63 0PW,G63 0PW,G,G63,56.0724345,-4.3291221,255118,689070,893,66.6,5 - <10%,0 - <5%,85,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01013013,122008474,balfronhs@stirling.gov.uk,01360 440469,https://blogs.glowscotland.org.uk/st/balfronhighschool/,,True
24,6103138,6103138S,Baltasound Junior High School,Baltasound Junior High School (Shetland Islands),Secondary,Local Authority,Non-denominational,Shetland Islands,S12000027,Baltasound,Unst,SHETLAND,ZE2 9DY,ZE2 9DY,ZE,ZE2,60.7593624,-0.8851556,460854,1208995,25,6.4,0%,0%,49,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01012414,30100006371,baltasound@shetland.gov.uk,01595 807020,http://www.baltasound.shetland.sch.uk/,,True
25,5406838,5406838S,Balwearie High School,Balwearie High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,Balwearie Gardens,Kirkcaldy,,KY2 5LY,KY2 5LY,KY,KY2,56.1005649,-3.1720677,327189,690374,1585,110.6,5 - <10%,15 - <20%,93,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009493,320181257,balweariehs.enquiries@fife.gov.uk,01592 583402,http://www.balweariehigh.co.uk,,True
26,5251834,5251834S,Banchory Academy,Banchory Academy (Aberdeenshire),Secondary,Local Authority,Non-denominational,Aberdeenshire,S12000034,Raemoir Road,Banchory,KINCARDINESHIRE,AB31 5UJ,AB31 5UJ,AB,AB31,57.05304,-2.491458,370286,795884,865,68.6,5 - <10%,0%,93,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01006865,151501978,banchory.aca@aberdeenshire.gov.uk,01330 700450,https://banchoryacademy.aberdeenshire.sch.uk/,"School Contacts List UPRN (151143927) is not in SAD 2024 Q1.  GISAT has assigned the UPRN for Banchory Community Education Centre (151501978), which shares the site.",True
27,5213231,5213231S,Banff Academy,Banff Academy (Aberdeenshire),Secondary,Local Authority,Non-denominational,Aberdeenshire,S12000034,Bellevue Road,Banff,ABERDEENSHIRE,AB45 1BY,AB45 1BY,AB,AB45,57.6621068,-2.5321431,368348,863705,970,78.6,*,0%,57,N,N,N,4,4,Remote Small Towns,Remote Small Towns,4,4,Remote Small Towns,Remote Small Towns,S01007036,151085115,banff.aca@aberdeenshire.gov.uk,01261 455600,http://www.banffacademy.aberdeenshire.sch.uk/,UPRN is a Parent UPRN in SAD 2024 Q1.,True
28,8458138,8458138S,Bannerman High School,Bannerman High School (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,119 Glasgow Road,,GLASGOW,G69 7NS,G69 7NS,G,G69,55.8489516,-4.122634,267205,663788,1201,94.7,5 - <10%,30 - <35%,59,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01010085,906700136494,headteacher@bannermanhigh.glasgow.sch.uk,0141 582 0020,http://www.bannermanhigh.glasgow.sch.uk/,,True
29,5726131,5726131S,Bannockburn High School,Bannockburn High School (Stirling),Secondary,Local Authority,Non-denominational,Stirling,S12000030,Bannockburn Road,Bannockburn,STIRLING,FK7 0HQ,FK7 0HQ,FK,FK7,56.0962587,-3.9215695,280557,690940,506,48.4,*,30 - <35%,58,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01013048,122025192,bannockburnhs@stirling.gov.uk,01786 813519,http://www.bannockburnhigh.org/,,True
30,8627630,8627630S,Barrhead High School,Barrhead High School (East Renfrewshire),Secondary,Local Authority,Non-denominational,East Renfrewshire,S12000011,Aurs Road,Barrhead,GLASGOW,G78 2SJ,G78 2SJ,G,G78,55.8006043,-4.3781676,251024,658929,613,66.8,5 - <10%,30 - <35%,22,N,Y,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008317,131048019,headteacher@barrhead.e-renfrew.sch.uk,0141 5772100,http://www.barrhead.e-renfrew.sch.uk/,,True
31,5509432,5509432S,Bathgate Academy,Bathgate Academy (West Lothian),Secondary,Local Authority,Non-denominational,West Lothian,S12000040,Edinburgh Road,Bathgate,WEST LOTHIAN,EH48 1LF,EH48 1LF,EH,EH48,55.8984019,-3.6131273,299229,668430,1183,82.6,5 - <10%,15 - <20%,41,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01013409,200004140932,wlbathgate-ac@westlothian.org.uk,01506 653725,http://www.bathgateacademy.westlothian.org.uk,,True
32,8325634,8325634S,Bearsden Academy,Bearsden Academy (East Dunbartonshire),Secondary,Local Authority,Non-denominational,East Dunbartonshire,S12000045,St Andrew's Way,Bearsden,,G61 3AX,G61 3AX,G,G61,55.9276672,-4.346998,253458,673000,1213,94.5,10 - <20%,*,77,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008061,132053068,office@bearsdenacademy.e-dunbarton.sch.uk,0141 955 2344,http://www.bearsdenacademy.e-dunbarton.sch.uk/,,True
33,5447232,5447232S,Beath High School,Beath High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,Foulford Road,Cowdenbeath,,KY4 9BH,KY4 9BH,KY,KY4,56.113435,-3.3585094,315620,692019,1390,106.4,0 - <5%,25 - <30%,39,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009413,320229082,Beathhs.enquiries@fife.gov.uk,01383 602401,https://www.fifedirect.org.uk/schoolsite/index.cfm?fuseaction=site&SiteID=6A78E61F-0BC2-3977-96DE83E15A412C79,,True
34,5547938,5547938S,Beeslack Community High School,Beeslack Community High School (Midlothian),Secondary,Local Authority,Non-denominational,Midlothian,S12000019,Edinburgh Road,Penicuik,,EH26 0QF,EH26 0QF,EH,EH26,55.8398261,-3.2121141,324189,661399,751,66.1,5 - <10%,0 - <5%,85,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01010949,120035982,beeslack.hs@midlothian.gov.uk,01968 678060,http://www.beeslackhigh.co.uk,,True
35,5426332,5426332S,Bell Baxter High School,Bell Baxter High School (Fife),Secondary,Local Authority,Non-denominational,Fife,S12000047,Carslogie Road,Cupar,,KY15 4HY,KY15 4HY,KY,KY15,56.3172248,-3.0289411,336452,714346,1510,103.4,0 - <5%,0 - <5%,74,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01009683,320175860,bellbaxterhs.enquiries@fife.gov.uk,01334 659459,http://www.bbhs-online.co.uk/,,True
36,8432031,8432031S,Bellahouston Academy,Bellahouston Academy (Glasgow City),Secondary,Local Authority,Non-denominational,Glasgow City,S12000049,30 Gower Terrace,,GLASGOW,G41 5QE,G41 5QE,G,G41,55.8481524,-4.3004892,256069,664055,1117,83.1,>20%,30 - <35%,38,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01009873,906700170021,headteacher@bellahoustonacademy.glasgow.sch.uk,0141 582 0030,http://www.bellahoustonacademy.glasgow.sch.uk/,,True
37,8516634,8516634S,Bellshill Academy,Bellshill Academy (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,321 Main Street,Bellshill,,ML4 1AR,ML4 1AR,ML,ML4,55.8196798,-4.0180953,273654,660335,712,57.0,5 - <10%,45 - <50%,20,N,Y,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01011523,118114371,ht@bellshill.n-lanark.sch.uk,01698 274940,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5911,,True
38,8235732,8235732S,Belmont Academy,Belmont Academy (South Ayrshire),Secondary,Local Authority,Non-denominational,South Ayrshire,S12000028,Nursery Road,Ayr,,KA7 2PG,KA7 2PG,KA,KA7,55.4449624,-4.6188583,234447,619907,1211,91.2,0 - <5%,15 - <20%,30,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01012470,141064236,belmont.mail@south-ayrshire.gov.uk,01292 612054,http://www.belmont.sayr.sch.uk,,True
39,1004743,1004743S,Bertha Park High School,Bertha Park High School (Perth and Kinross),Secondary,Local Authority,Non-denominational,Perth and Kinross,S12000048,Adamson Avenue,,PERTH,PH1 0AU,PH1 0AU,PH,PH1,56.4222073,-3.4849803,308497,726545,645,55.4,0 - <5%,0 - <5%,67,N,N,N,2,2,Other Urban Areas,Other Urban Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01012006,124109060,BerthaParkHSP@pkc.gov.uk,01738 452300,https://www.berthaparkhigh.org.uk/,,True
40,5647339,5647339S,Berwickshire High School,Berwickshire High School (Scottish Borders),Secondary,Local Authority,Non-denominational,Scottish Borders,S12000026,Duns,Berwickshire,,TD11 3QG,TD11 3QG,TD,TD11,55.7733671,-2.3563264,377745,653395,574,48.6,>20%,0%,37,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,Accessible Rural Areas,Accessible Rural Areas,S01012302,116064391,bhs@scotborders.gov.uk,01361 883710,https://bhs.scot/,,True
41,8549834,8549834S,Biggar High School,Biggar High School (South Lanarkshire),Secondary,Local Authority,Non-denominational,South Lanarkshire,S12000029,Market Road,Biggar,,ML12 6AG,ML12 6AG,ML,ML12,55.6208323,-3.5220512,304245,637412,637,57.3,0 - <5%,5 - <10%,80,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01012576,484162030,office@biggar.s-lanark.sch.uk,01899 222050,http://www.biggar-pri.s-lanark.sch.uk/,,True
42,8340030,8340030S,Bishopbriggs Academy,Bishopbriggs Academy (East Dunbartonshire),Secondary,Local Authority,Non-denominational,East Dunbartonshire,S12000045,Wester Cleddens Road,Bishopbriggs,,G64 1HZ,G64 1HZ,G,G64,55.9078132,-4.1990689,262628,670486,1294,105.3,>20%,0 - <5%,78,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008113,132053076,office@bishopbriggs.e-dunbarton.sch.uk,0141 955 2351,http://www.bishopbriggs.e-dunbarton.sch.uk/,,True
43,5350131,5350131S,Blairgowrie High School,Blairgowrie High School (Perth and Kinross),Secondary,Local Authority,Non-denominational,Perth and Kinross,S12000048,Beeches Road,Blairgowrie,,PH10 6PW,PH10 6PW,PH,PH10,56.5845248,-3.3424768,317640,744430,912,74.3,0 - <5%,*,68,N,N,N,4,4,Remote Small Towns,Remote Small Towns,4,4,Remote Small Towns,Remote Small Towns,S01011989,124026710,Blairgowrie@pkc.gov.uk,01250 871200,http://www.blairgowriehs.org.uk/,,True
44,8325936,8325936S,Boclair Academy,Boclair Academy (East Dunbartonshire),Secondary,Local Authority,Non-denominational,East Dunbartonshire,S12000045,Inveroran Drive,Bearsden,,G61 2PL,G61 2PL,G,G61,55.9163862,-4.3056984,255996,671658,1034,84.5,10 - <20%,15 - <20%,90,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008082,132001421,office@boclair.e-dunbarton.sch.uk,0141 955 2358,http://www.boclair.e-dunbarton.sch.uk,,True
45,5758734,5758734S,Bo'ness Academy,Bo'ness Academy (Falkirk),Secondary,Local Authority,Non-denominational,Falkirk,S12000014,Gauze Road,Bo'ness,,EH51 9AS,EH51 9AS,EH,EH51,56.0097127,-3.5986139,300423,680796,829,73.4,0 - <5%,*,79,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009259,136060536,bonessacademy@falkirk.gov.uk,01506 822028,http://www.bonessacademy.com/,,True
46,5531438,5531438S,Boroughmuir High School,Boroughmuir High School (City of Edinburgh),Secondary,Local Authority,Non-denominational,City of Edinburgh,S12000036,111 Viewforth,Edinburgh,,EH11 1FL,EH11 1FL,EH,EH11,55.9410199,-3.2145603,324233,672663,1541,107.9,>20%,*,62,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01008651,906469550,admin@boroughmuir.edin.sch.uk,0131 229 9703,http://www.boroughmuir.edin.sch.uk/,,True
47,6103332,6103332S,Brae High School,Brae High School (Shetland Islands),Secondary,Local Authority,Non-denominational,Shetland Islands,S12000027,Brae,Shetland,,ZE2 9QG,ZE2 9QG,ZE,ZE2,60.3958883,-1.3510308,435866,1168172,163,24.0,0%,0%,75,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01012410,30100004497,brae@shetland.gov.uk,01595 745600,http://www.brae.shetland.sch.uk/,,True
48,5746531,5746531S,Braes High School,Braes High School (Falkirk),Secondary,Local Authority,Non-denominational,Falkirk,S12000014,Newlands Road,Reddingmuirhead,FALKIRK,FK2 0DA,FK2 0DA,FK,FK2,55.9809787,-3.7352509,291824,677804,1077,87.5,0 - <5%,5 - <10%,86,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01009190,136036354,braeshighschool@falkirk.gov.uk,01324 719551,https://blogs.glowscotland.org.uk/fa/schoolwebsite/,,True
49,5339731,5339731S,Braeview Academy,Braeview Academy (Dundee City),Secondary,Local Authority,Non-denominational,Dundee City,S12000042,Berwick Drive,Dundee,,DD4 0NL,DD4 0NL,DD,DD4,56.4939629,-2.9150273,343760,733918,704,63.8,0 - <5%,50 - <55%,61,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01007791,9059017548,braeviewacademy@dundeeschools.scot,01382 438452,http://braeview.ea.dundeecity.sch.uk/home.htm,,True
50,8516839,8516839S,Braidhurst High School,Braidhurst High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Dalriada Crescent,Motherwell,,ML1 3XF,ML1 3XF,ML,ML1,55.8012547,-3.998427,274827,658249,573,44.0,5 - <10%,55 - <60%,3,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01011492,118068897,ht@braidhurst.n-lanark.sch.uk,01698 274999,http://www.braidhurst.n-lanark.sch.uk/,,True
51,8519234,8519234S,Brannock High School,Brannock High School (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,Loanhead Road,Newarthill,MOTHERWELL,ML1 5AU,ML1 5AU,ML,ML1,55.8108774,-3.9594849,277298,659250,546,59.4,0 - <5%,35 - <40%,69,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01011458,118085008,ht@brannock.n-lanark.sch.uk,01698 274936,http://www.brannock.n-lanark.sch.uk/,,True
